"organism","run_num","clock_hours","cpu_hours","max_rss_gb","max_vmem_gb","median_rss_gb","median_vmem_gb"
"a_thaliana",1,4.13861111111111,91.2,23.8370684928,70.1153411072,0.007340032,0.0100663296
"a_thaliana",2,4.24944444444444,94.5,23.8370684928,70.1153411072,0.007340032,0.0100663296
"a_thaliana",3,4.18888888888889,91.2,23.8370684928,1209.4627905536,0.007340032,0.0100663296
"b_japonicum",1,0.548055555555556,4.5,5.36870912,1209.4627905536,0.007340032,0.0100663296
"b_japonicum",2,0.541388888888889,4.5,5.36870912,1209.4627905536,0.007340032,0.0100663296
"b_japonicum",3,0.5325,4.4,5.36870912,1209.4627905536,0.007340032,0.0100663296
"c_elegans",1,5.96194444444444,96.6,34.2523641856,1209.4627905536,0.01048576,0.2300575744
"c_elegans",2,5.91444444444444,96.2,34.1449900032,1209.4627905536,0.01048576,0.2300575744
"c_elegans",3,5.96611111111111,96.6,34.1449900032,1209.4627905536,0.0092274688,0.228589568
"c_sativus",1,13.6580555555556,236.9,70.1153411072,1209.4627905536,0.007340032,0.0100663296
"c_sativus",2,13.6130555555556,235.5,70.0079669248,77.309411328,0.007340032,0.0100663296
"c_sativus",3,13.6911111111111,235.4,70.0079669248,1209.4627905536,0.007340032,0.0100663296
"f_oxysporum",1,0.889722222222222,19.7,6.979321856,70.1153411072,0.007340032,0.0100663296
"f_oxysporum",2,0.839166666666667,18.3,6.979321856,1209.4627905536,0.007340032,0.0100663296
"f_oxysporum",3,0.913888888888889,20.4,6.979321856,70.1153411072,0.007340032,0.0100663296
"l_fermentum",1,0.169166666666667,1,3.5433480192,70.2227152896,0.007340032,0.0100663296
"l_fermentum",2,0.164444444444444,1,3.5433480192,70.2227152896,0.007340032,0.0100663296
"l_fermentum",3,0.168611111111111,1,3.758096384,70.2227152896,0.007340032,0.0100663296
"o_tauri",1,0.531944444444444,9.6,15.032385536,1209.4627905536,0.007340032,0.0100663296
"o_tauri",2,0.533888888888889,9.2,15.032385536,1209.4627905536,0.007340032,0.0100663296
"o_tauri",3,0.513611111111111,9,15.032385536,70.1153411072,0.007340032,0.0100663296
"p_aeruginosa",1,0.371388888888889,3.1,5.2613349376,70.1153411072,0.007340032,0.0100663296
"p_aeruginosa",2,0.356388888888889,3,5.1539607552,70.1153411072,0.007340032,0.0100663296
"p_aeruginosa",3,0.375277777777778,3,4.9392123904,70.1153411072,0.007340032,0.0100663296
"p_capsici",1,2.99777777777778,56.5,19.6494753792,1209.4627905536,0.007340032,0.0100663296
"p_capsici",2,3.54138888888889,66.4,17.3946175488,1209.4627905536,0.007340032,0.0100663296
"p_capsici",3,3.50555555555556,66.1,17.3946175488,1209.4627905536,0.007340032,0.0100663296
"p_ramorum",1,1.85666666666667,37.4,12.9922760704,70.1153411072,0.007340032,0.0100663296
"p_ramorum",2,1.8375,37.4,12.9922760704,1209.4627905536,0.007340032,0.0100663296
"p_ramorum",3,1.79777777777778,37.1,12.9922760704,70.1153411072,0.007340032,0.0100663296
"p_vivax",1,1.23722222222222,25.1,6.8719476736,70.330089472,0.007340032,0.0100663296
"p_vivax",2,1.215,25.2,6.8719476736,1209.4627905536,0.007340032,0.0100663296
"p_vivax",3,1.24027777777778,25.2,6.8719476736,1209.4627905536,0.007340032,0.0100663296
"s_olivochromogenes",1,0.952777777777778,8.1,15.032385536,1209.4627905536,0.007340032,0.0100663296
"s_olivochromogenes",2,0.947222222222222,8.1,15.032385536,1209.4627905536,0.007340032,0.0100663296
"s_olivochromogenes",3,0.958888888888889,8,15.032385536,1209.4627905536,0.007340032,0.0100663296
"u_maydis",1,0.218055555555556,3.6,6.0129542144,70.2227152896,0.1220542464,4.7244640256
"u_maydis",2,0.23,3.8,6.0129542144,70.2227152896,0.1212153856,4.7244640256
"u_maydis",3,0.281944444444444,3.8,6.0129542144,70.2227152896,0.1238368256,4.7244640256
"x_hortorum",1,0.272777777777778,2.2,4.9392123904,1209.4627905536,0.007340032,0.0100663296
"x_hortorum",2,0.273055555555556,2.2,4.1875931136,1209.4627905536,0.007340032,0.0100663296
"x_hortorum",3,0.267222222222222,2.2,4.9392123904,1209.4627905536,0.007340032,0.0100663296
