"sample_count","replicate","clock_hours","cpu_hours","max_rss_gb","max_vmem_gb","median_rss_gb","median_vmem_gb"
1,"a",0.453611111111111,2,4.4023414784,1209.4627905536,0.007340032,0.0100663296
1,"b",0.463055555555556,2,5.7982058496,1209.4627905536,0.007340032,0.0100663296
1,"c",0.298611111111111,1.3,2.8991029248,1209.4627905536,0.007340032,0.0100663296
3,"a",0.633611111111111,5,6.8719476736,70.2227152896,0.007340032,0.0100663296
3,"b",0.541111111111111,4.7,6.3350767616,70.330089472,0.007340032,0.0100663296
3,"c",0.438333333333333,3.5,6.0129542144,70.2227152896,0.007340032,0.0100663296
5,"a",0.74,7.7,6.8719476736,70.4374636544,0.007340032,0.0100663296
5,"b",0.601111111111111,7.6,6.5498251264,1209.4627905536,0.007340032,0.0100663296
5,"c",0.515555555555556,5.7,6.3350767616,1209.4627905536,0.007340032,0.0100663296
10,"a",1.00222222222222,19.8,6.8719476736,1209.4627905536,0.007340032,0.0100663296
10,"b",0.791111111111111,16.4,6.7645734912,1209.4627905536,0.007340032,0.0100663296
10,"c",0.946666666666667,13.8,7.0866960384,1209.4627905536,0.007340032,0.0100663296
25,"a",1.83333333333333,44.4,7.0866960384,1209.4627905536,0.007340032,0.0100663296
25,"b",1.70194444444444,41.7,6.8719476736,70.4374636544,0.007340032,0.0100663296
25,"c",1.45388888888889,36.9,7.0866960384,1209.4627905536,0.007340032,0.0100663296
50,"a",2.90972222222222,80.7,6.979321856,1209.4627905536,0.0148897792,0.2300575744
50,"b",2.78666666666667,77.3,6.979321856,1209.4627905536,0.0134217728,0.3358588928
50,"c",2.69861111111111,73.3,7.3014444032,1209.4627905536,0.0138412032,0.2300575744
75,"a",4.26138888888889,118.3,7.1940702208,1209.4627905536,0.1122500608,2.68435456
75,"b",4.37583333333333,118.2,9.4489280512,1209.4627905536,0.1130364928,2.68435456
75,"c",4.20111111111111,116.8,7.7309411328,1209.4627905536,0.113770496,2.7917287424
100,"a",5.90444444444444,157.9,9.4489280512,1209.4627905536,0.1145044992,3.6507222016
100,"b",6.015,162.2,9.4489280512,1209.4627905536,0.1245708288,4.0802189312
100,"c",5.53861111111111,152.2,7.6235669504,1209.4627905536,0.1223688192,3.8654705664
150,"a",8.77027777777778,239.5,9.4489280512,1209.4627905536,0.1500512256,4.1875931136
150,"b",8.57972222222222,232,9.4489280512,1209.4627905536,0.1620574208,4.1875931136
150,"c",8.72666666666667,240,9.7710505984,1209.4627905536,0.158859264,4.1875931136
200,"a",11.6355555555556,318.9,12.4554051584,1209.4627905536,0.5388632064,4.294967296
200,"b",11.8916666666667,314.3,12.5627793408,71.403831296,0.6184501248,4.6170898432
200,"c",11.5986111111111,321.3,11.811160064,1209.4627905536,0.6209142784,4.6170898432
